comment,label
Temen-temen yang mau prompt yang kupakai silahkan kunjungi https://www.masyawi.id/veo-3-gratis-dan-prompt/,1
harus pake vpn?,1
"mas,bahas TUNE AI mas,peraturannya agak ribet,g simple kyk 2025...??????
trus solisinya apa buat kami yang pemburu gratisan??????
please mas,bantu kami..??????",1
"email asli saya pernah menggunakan trial tapi kreditnya sudah habis, saya ganti email baru kok g bisa dapet trial gratisan lagi ya, bagaimana caranya biar dapet",1
Pikiran nya udah jaaht duluan,1
gw ga bsa install vpn yg di chromenya??,1
bang mau nanya aku ada tugas video ai disuruh bahas tentang kerajaan dan durasi nya lumayang panjang 7 menitan itu gimana ya bang,1
"Bang ko punya ku g ada metode bayar pakai ponsel y, adanya paypalll aja",1
Durasinya cuma 8 detik pengen durasi 60 detik gk bs,1
?,1
Sekarang semua negara di kunci??,1
Bang tolong bikinin video Ai tentang kehilangan seseorang ????,1
AI nya bikin bentuk monasnya salah gak sama dengan bentuk aslinya ????,0
Cara download videonya gimana bang?,1
"Sayg nya gk bisa bikin banyak bner2 di batasi 
Sehari paling bisa bikin 2 atau 3 video",1
"Bang aku gapakai laptop,gabisa instal vpn nya.Apa bisa pakai vpn yanf manapun?",1
lah gw dah pro kok gak ada vidio si bang,1
macam mana cara nk unsubscribe gimini pro?,1
saya sudah batalkan kenapa masih muncul pro di gemini akun saya ? dan masih bisa edit voc? apa ini nanti ada tagiahan atau tidak kakak,1
kalo pake vpn ada batas hariannya ngga bang?,1
Punya saya gak ada suaranya bang gimana?,1
�@nasrudinrq� sama,1
"�@nasrudinrq� sama bang, saya juga gada suaranya",1
"�@nasrudinrq� itu masi pake yg veo 2 kynya om, vpn nya blm nyala kyny",1
"Sya sudah pro, tapi masih veo 2 bg, gmna solusi?",1
�@TheTrueCriminalFiles� Pastikan vpn nya server amerika,1
VPN boy?�@TheTrueCriminalFiles�,1
�@TheTrueCriminalFiles� pake VPN bang,1
"Bang tolong baca komenku ?? bisa atau tidak dibuat dengan 2 orang atau lebih, misal dengan Rafi Ahmad bersama denganku dalam satu video kayak gitu, didalam video aku bersalaman dengan Rafi Ahmad. Misalnya begitu, bang tolong tanggapi request aku ya ??",1
�@EntertainmentVIPRoom� Untuk veo 3 versi gemini ini nggak bisa diri sendiri,1
"bang kualitas videonya 720p, gimana supaya bisa 1080p ?",1
Apakah ada batas pembuatan videonya? Karena aku coba hanya sampai 3 kali pembuatan videony pakai veo 3,1
"�@LizoPaws� saya cuma sampe 8 detik doang, gak lebih",1
"Itu uji coba sebulan, yang vidio cuma bisa bikin 3 kali aja klo untuk fitur yg lain masih bisa. Harusnya abangny  jelasin juga tapi sama abangny g di jelasin",1
Bagaima supaya wajahnya dirubah dengan wajah kita,1
?�@Debataraja-f2f�ikut nunggu jawaban dr komenan ini,1
Ada cara biar bikin videonya gak limit gak kak? baru buat beberapa udah limit sampai tanggal 6 juni baru bisa buat lagi,1
"Mas kenapa saya hanya bisa membuat beberapa kali, padahal baru satu hari mohon petunjuk selanjutnya mas",1
"Bang gw udah buat sesuai isi vidio tapi GK ada suara...
Cobain di hp dong bang",0
Situs nya down,0
Suara nya ga ada dari yang saya buat... Cuma video aja,0
?�@Tooooy�sama cara munculin suaranya gman kak? Udah bisa blom??,1
Webnya g bisa dibuka kak,0
"bang punya saya nggak ada suaranya, tolong dijawab dong",0
"@masyawi saya udah coba ikutin tutornya dan lancar semua tapi bahasanya tetep bahasa inggria ya bang,?",1
"video yang saya bikin cuma sampai 8 detik aja, narasinya jadi terpotong, mohon pencerahan kak",1
Apa memang hasil video nya maksimal 8 detik ya bang?,1
Berarti Gak Gratis itu?,1
Bang di saya kq ga ada pilihan video nya yah,0
�@GameSin_cuantik� aku juga sama ga ada,0
Kalau di crome android nggak bisa di download ya VPN nya,0
Masih tetep vo2,0
Bang membuat video di vo3 ada batasnya gk,1
Gak bisa pake hp?,1
Saya Curiga host nya AI juga kek nya ??,1
�@NadiaAsyifaAzahra123� wkwkwkwk,1
Punyaku kok bahasa inggris vidionya ????,1
saya sudah buat tetapi tidak punya suara,0
"Dajjal: ""Yehee bwooii""",1
Bro bro atau teman-teman yang ada di kolom komen ini kira-kira ea yang aksesnya perlu untuk membaca layar tunanetra apa ya??? yang aksesibel ???,1
Bang kalo pake hp bisa,1
bang gua udah upgrad ke pro to ko tetep di veo 2 ya...,1
????????,1
klo pke HP gk bisa ya bang ?,1
Kak nulisnya bahasa inggris tapi ngomong nya bahasa Indonesia,0
Semua AI tetap bayar keculai ai whatsap,1
"buatkan prompt untuk veo 3 seseorang wanita cantik dengan background patung habibi dengan seolah ngevlog selfie sambil berbicara ""tahede ngana ayi piliki, kinapa te lanang ngana beken jadi ba cina"" dengan sedikit marah",1
Puny ku kok gk ada suara nya ya bang,0
"Kenapa hanya gambar ajah ya, bulan video?",0
bang klo videonya lagi mempromosikan produk / barang dagangan milik sendiri gmn bang???,1
"Saya dah coba bang, tapi ko ga ngomong??",0
Apa bisa buatkan video KLO bisa berapa biayanya,1
"mas,bahas TUNE AI mas,peraturannya agak ribet,g simple kyk 2025...
trus solisinya apa buat kami yang pemburu gratisan
please mas,bantu kami..",1
Durasinya cmn 8 detik aja ya bang?,0
Veo 3 sehari bisa berapa x generate ?,0
lu pake premium itu namanya bg bukan karna ngaruh vpn??,0
Bisa buat yg image to video kak,0
