comment,label
"prompt bahasa inggrisnya masih campur bahasa indonesia,solusinya gimana gan?",1.0
harus akun pro,1.0
ini pake free 1 bulan,1.0
4:22 cara bikin akun pro,1.0
min contoh prompt agar org yang dividio persisi seperti diri kita yang asli gimana yah,1.0
gua gaada suaranya bang,0.0
"kok bahasa inggris di saya, cara ubah nya gimana yaa?",0.0
punyaku bisa tapi tidak ada suaranya bg,0.0
kok tidak ada suaranya ya?,0.0
lah gw dah pro kok tidak ada vidio si bang,1.0
"kak, makasih ya. udah menggunakan ai dengan bijak. mengedukasi juga. semangat ya ngontennya.",2.0
"? oh pantesan tidak bisa"" om, ok makasih om ilmunya semoga dimudahkan rezekinya",2.0
yang jadi pertanyaan yang dimuculkan wajah nya itu siapa dan dapat darimana???,1.0
kalau diganti wajah kita gimana bang ?,1.0
knpa saya buat tidak ada suara ya,0.0
"? .1 oke bang maksih bang,moga sehat selalu",1.0
bang kok gue tidak ada suara nya yaa,0.0
fungsi al?,1.0
amerika memang hebat ?,1.0
"mantap, terimakasih banyak ilmunya bang",2.0
prabow* = sultan receh. tapi overall keren,2.0
kenyataannya tidak gratis aku bayar pakai waktu ku??,1.0
mantep mas e...,2.0
saya sudah batalkan kenapa masih muncul pro di gemini akun saya ? dan masih bisa edit voc? apa ini nanti ada tagiahan atau tidak kakak,1.0
"tidak ad share link kk, ini tutorial cara buat aplikasinya, coba ditonton sampe habis videonya",1.0
cb pake mode desktop,1.0
sample muka nya bukan dari yang scam retina kemaren tidak si?,1.0
"buatkan prompt gogle veo 3 seorang wanita cantik berambut panjang dengan begrond lomba burung canary seolah ngevlog sambil berbicara bahasa indonesia "" burung kenari anda macet pakan magic solusinya, pakan herbal untuk burung macet "" dengan ceria",0.0
kak kalo mau jadi gini pro berapa ya mau belajar kak,1.0
"tidak ada watermark nya bang , yakin tidak pakai credit dan ganti ganti email?",1.0
ngeri bangettt tolong ??????,0.0
"kak aku udah coba, tapi ko audionya tidak keluar yaa ?",0.0
"? setelah aplikasinya jadi saya coba saya klik hasilkan prompt itu tidak bisa, muncul tulisan kecil di bawah kesalahan kode",0.0
"bapak"" dan emak"" kalau nonton kyak gini percayaan . repot pokok nya repot parah parah otaknya kacau kacau.",0.0
kalau whisk ya ada lah gan tulisan veo nya tapi kecil di pojok... namanya gratis ya pasti ada watermark lah gan... kalau lemon slice nya sekarang udah tidak ada free nya alias harus pro semua,1.0
promptingnya gimana sih gw ko campur inggris terus ya? terus random gitu movementnya.,0.0
"mantap bang, disini di share gratis, pernah lihat ada iklan fb, bahas cara daftar google veo 3 harus ikut kelas byar 200 rebu wkwkkw",2.0
kenapa aku buat suaranya tidak ada ya?,0.0
"namanya gratisan, bikin akun lagi ??",1.0
"tidak semudah itu menambahkan opsi pembayaran pakai gopay, dana, dll menggunakan beberapa akun gmail... dan memakai secara terus menerus google veo?? percayalah",1.0
"aq generate kok silent ya, gimana settingnya bro?",0.0
mantap tutornya bang,2.0
"?ï¿½ -clipï¿½gimana buat sendiri kalo dia tidak ada referensi? pasti ada lah ngambil, meski buat cm awalan trs baru dikembangin sm ai nya",1.0
"aku pengen buat film atau series tokusatsu ku sendiri, aku punya ide",1.0
"ide dari ai, prompt dari ai, kita tinggal ngaso. kreatif banget deh.",2.0
bg di fb pro sama di yr short bisa di monet ga?,1.0
apakah ada limit generate video nya ? kalau di veo 2 google studio saya hanya bisa generate video per hari hanya 4-5 video saja,1.0
"langsung buat sendiri aja bg, bisa custom kayak di video",1.0
kok saya hasilnya saya tidak ada suaranya...,0.0
"uda bayar tapi kq terbatas banget pemakaian nya, selebih nya harus nunggu 24 jam lagi, parah tidak sih ?",1.0
"wah thanks bang, udh gw cba berhasil. tapi klo mau di jadiin bahasa indonesia gmn yaa bang caranya, karena pas jadi ngomong di videonya pakai bahasa inggris..?? mohon arahannya. thanks ????",0.0
"tidak ada suaranya bang punya gua, cuma vidio2 aja",0.0
"waduh kayaknya lom bisa gan, ini aja aku masih dalam tahap pengembangan penuh alias fokus saya cuma masih kesitu untuk saat ini...",0.0
supaya ada suaranya gimana om,1.0
min coba kerajaan minang pagaruyung??????,1.0
"saya pakai software filmora 14 gan, coba aja powerfull banget...",2.0
vvn nya gx bisa di instal gx bisa di apa apain,1.0
kok saya pake ekstension yang sama tapi pas d instal jadinya beda ya bang?,1.0
"kalian percaya tidak sih wajah2 itu kumpulan data2 manusia, bisa jadi salah satunya kalian juga",1.0
ko nga ada suaranya bang ?? mohon arahannya,0.0
"hehe...iya gan mohon maaf sekarang ai banyak yang udh tidak ngasih versi trialnya, ini saya buat video masih dikasih trialnya dan kemarin aku cek lagi udah tidak ada gratisnya ????",0.0
ai di tangan yang benar,2.0
matahari nya beneran indonesia bgt??,2.0
digabung aja prompt 1 dn 2 langsung sekali submit,1.0
kok aku tidak ada suaranya mas yah? boleh minta saran?,0.0
"ai sering disalahgunakan buat promosi produk abal abal, media penipuan mengatasnamakan bank apa, dan alat propaganda",0.0
sama2 bg,1.0
bang kalo pake hp bisa,1.0
perang ai ??,1.0
"bisa.... saya sudah jelaskan banyak dikomentar video ini, kamu cari aja ya infonya ??",1.0
"solusi, unduh gambar generate di web laon",1.0
"bang punyaku kok tidak ada fitur videonya ya, padahal uda pakai vpn",0.0
halo juga... kalau pakai dekstop emnak tidak langsung muncul menu animasikan harus diarahkan dulu kursor nya ke gambar hasil generate itu nanti muncul menut animasikan dan revisi... coba dicek lagi ya barang kali ada yang kelewat...,1.0
bang baru juga semalam kok sekarang sorenya udah mencapai batas,1.0
untuk durasi vidio bisa lebih dari 8 detik tidak bang,1.0
sama2 bg,1.0
so hear me out...,1.0
"dari video2 monas yang tidak mirip monas sama sekali mengindikasikan, landmark kebanggaan indonesia itu belum dikenali secara global termasuk oleh algoritma ai, google dan platform2 pencarian data/info/gambar berbasis komputerisasi. mungkin kalau menara eiffel, patung liberty, opera house sydney dan landmark2 kota2 global dunia akan dengan mudah algoritma ai memunculkannya dengan presisi persis seperti asli.",0.0
"keren channel ini, sangat mengedukasi dan bermanfaat, makasih bang",2.0
"ternyata jaman majapahit dulu gaada korupsi, mangkanya damai",1.0
"?ï¿½ ¿½lu yakin bang,, diseluruh bumi ngga ada yang wajahnya mirip mbak2 ai diatas ????",1.0
bang bisa pakai foto kita tidak,1.0
punyaku kok tidak ada suaranya ya,0.0
luar biasa abang ini tidak pelit ilmu.... ??,2.0
ai mengkombinasi data yang dipelajari,1.0
kak??? ke zaman atlantis please,1.0
mungkin admin ini ai? ????,1.0
bisa buat film panjang tanpa artis ini mah,2.0
kenapa pas saya coba bikin ngomongnya kok jadi bahasa inggris ya bang?,0.0
bng sepi bnget upload video gaada yang nntoj??,1.0
"dari cara ngomngnya ,masyawi nya jg hasil ai",1.0
"makasih infonya, auto subscribe ??????",2.0
klik di video dulu,1.0
tidak bs konek ke gopay,0.0
ku kira 100% gratis,1.0
kok aq tidak muncul fitur vidio nya bg,1.0
"benar banget,takutnya suatu hari bisa jadi orang tsb complain",0.0
kak berapa harga tiket ke sana pengen,1.0
thanks for showing how to use google veo 3 like a pro. canï¿½t wait to try the viral movie ideas from your second video next ??,2.0
?ï¿½ ¿½coba cari yang wajahnya orang banten di pakai film 18+ dari ai.. aku pernah nonton videonya.. entah orang mana yang bikin video itu,0.0
langit zaman maja pahit??,1.0
"siap nanti saya usahakan ya, tapi saya tidak bisa pastikan kapan itu jadinya soalnya sambil bagi waktu??",1.0
pakai android bisa tidak bang ?,1.0
kok tidak ada suara bg,0.0
takut banget kena tombak,0.0
keren banget,2.0
dan itu kelak akan menjadi hal biasa,1.0
"bang, udh pakai vpn tidak muncul menu videonya. itu gmn ya?",1.0
bang saya buat kok bahasa inggris terus hasilnya ya,0.0
"bang saya login ke gemini tapi pas klik tulisan video yang munculnya veo 2, kalo mau ganti jadi veo 3 gimana ?",1.0
"ini dia yang di namakan fitnah akhir jaman... makin ngerii kalo misal kita bisa tambahkan wajah pake foto temen/orang yang kita tidak suka untuk membuat video ai. dan saya bingung itu google pasti dapat data wajah dr orang asia yang selama ini kerekam di database mereka bisa jadi dari foto"" selfi dari kamera hp kita sendiri yang kita tau kamera ponsel skrng sudah mendukung ai juga foto kita yang biasa kita upload di media social. jadi google mengumpulkan jutaan foto untuk menjadikan database ai itu sendiri. dan ini salah satu alasan kenapa gue hampir tidak pernah foto selfi/wajah dan taro di medsos",0.0
bang punya akuu di animasikan di whisk googlenya gakk mau bang??,0.0
"udah bikin pro tapi ada limitnya juga ini gemini,harus nunggu 1minggu lagi baru bisa bikin video lagi..aneh ya",1.0
jangan jangan abang ini ai juga,1.0
aktingnya pun bahkan lebih bagus dari manusia asli njir,2.0
di google play store gua ko tidak ada pembayaran lain nya jadi tidak bisa,1.0
pinter juga anda saya tak kepikiran????,1.0
sama2,1.0
