comment,sentiment,PE,EE,SI,FC
temen-temen yang mau prompt yang kupakai silahkan kunjungi,neutral,0,1,1,1
harus pake vpn?,neutral,0,0,0,0
"mas,bahas tune ai mas,peraturannya agak ribet,g simple kyk 2025...",negative,1,1,0,0
trus solisinya apa buat kami yang pemburu gratisan,neutral,1,0,1,0
"please mas,bantu kami..",neutral,1,1,0,0
"email asli saya pernah menggunakan trial tapi kreditnya sudah habis,saya ganti email baru kok g bisa dapet trial gratisan lagi ya,bagaimana caranya biar dapet",neutral,0,1,0,1
pikiran nya udah jaaht duluan,negative,0,1,1,0
gw tidak bsa install vpn yang di chromenya,negative,0,0,0,1
bang mau nanya aku ada tugas video ai disuruh bahas tentang kerajaan dan durasi nya lumayang panjang 7 menitan itu gimana ya bang,neutral,0,0,1,0
"bang ko punya ku g ada metode bayar pakai ponsel y,adanya paypalll aja",neutral,1,1,1,1
durasinya cuma 8 detik pengen durasi 60 detik tidak bs,neutral,0,1,0,1
,neutral,0,1,0,1
sekarang semua negara di kunci,neutral,0,0,0,0
bang tolong bikinin video ai tentang kehilangan seseorang,neutral,0,0,1,0
ai nya bikin bentuk monasnya salah tidak sama dengan bentuk aslinya,negative,0,0,1,0
cara download videonya gimana bang?,neutral,0,1,0,0
sayg nya tidak bisa bikin banyak bner2 di batasi,negative,1,0,1,0
sehari paling bisa bikin 2 atau 3 video,neutral,0,1,0,1
"bang aku gapakai laptop,gabisa instal vpn nya.apa bisa pakai vpn yanf manapun?",neutral,0,1,0,1
lah gw dah pro kok tidak ada vidio si bang,negative,0,1,1,0
macam mana cara nk unsubscribe gimini pro?,neutral,0,1,1,0
saya sudah batalkan kenapa masih muncul pro di gemini akun saya ? dan masih bisa edit voc? apa ini nanti ada tagiahan atau tidak kakak,neutral,1,0,0,0
kalo pake vpn ada batas hariannya ngga bang?,neutral,0,0,0,0
punya saya tidak ada suaranya bang gimana?,negative,0,0,1,0
sama,neutral,0,1,1,1
"sama bang,saya juga gada suaranya",negative,0,1,1,0
"itu masi pake yang veo 2 kynya om,vpn nya blm nyala kyny",negative,0,0,1,1
"sya sudah pro,tapi masih veo 2 bg,gmna solusi?",neutral,1,1,0,1
pastikan vpn nya server amerika,neutral,0,0,1,1
vpn boy​,neutral,0,1,0,0
pake vpn bang,neutral,0,0,1,1
"bang tolong baca komenku bisa atau tidak dibuat dengan 2 orang atau lebih,misal dengan rafi ahmad bersama denganku dalam satu video kayak gitu,didalam video aku bersalaman dengan rafi ahmad. misalnya begitu,bang tolong tanggapi request aku ya",neutral,0,0,0,0
untuk veo 3 versi gemini ini tidak bisa diri sendiri,neutral,1,1,1,1
"bang kualitas videonya 720p,gimana supaya bisa 1080p ?",neutral,0,0,0,1
apakah ada batas pembuatan videonya? karena aku coba hanya sampai 3 kali pembuatan videony pakai veo 3,neutral,0,1,0,0
"saya cuma sampe 8 detik doang,gak lebih",neutral,0,0,0,0
"itu uji coba sebulan,yang vidio cuma bisa bikin 3 kali aja klo untuk fitur yang lain masih bisa. harusnya abangny jelasin juga tapi sama abangny g di jelasin",neutral,0,1,1,0
bagaima supaya wajahnya dirubah dengan wajah kita,neutral,1,0,0,0
​ -f2f ikut nunggu jawaban dr komenan ini,neutral,1,0,1,1
ada cara biar bikin videonya tidak limit tidak kak? baru buat beberapa udah limit sampai tanggal 6 juni baru bisa buat lagi,neutral,0,0,1,0
"mas kenapa saya hanya bisa membuat beberapa kali,padahal baru satu hari mohon petunjuk selanjutnya mas",neutral,1,1,0,0
bang gw udah buat sesuai isi vidio tapi tidak ada suara...,negative,1,1,0,0
cobain di hp dong bang,neutral,1,0,1,1
situs nya down,negative,0,1,1,1
suara nya tidak ada dari yang saya buat... cuma video aja,negative,1,1,1,0
​ sama cara munculin suaranya gman kak? udah bisa blom,neutral,0,1,1,0
webnya g bisa dibuka kak,negative,0,0,0,1
"bang punya saya tidak ada suaranya,tolong dijawab dong",negative,0,0,1,0
"saya udah coba ikutin tutornya dan lancar semua tapi bahasanya tetep bahasa inggria ya bang,?",negative,0,1,0,0
"video yang saya bikin cuma sampai 8 detik aja,narasinya jadi terpotong,mohon pencerahan kak",neutral,0,0,0,0
apa memang hasil video nya maksimal 8 detik ya bang?,neutral,0,1,0,0
berarti tidak gratis itu?,neutral,0,0,1,0
bang di saya kq tidak ada pilihan video nya yah,negative,1,1,1,0
aku juga sama tidak ada,negative,0,1,1,1
kalau di crome android tidak bisa di download ya vpn nya,negative,0,1,1,1
masih tetep vo2,negative,0,0,0,1
bang membuat video di vo3 ada batasnya tidak,neutral,0,0,0,0
tidak bisa pake hp?,neutral,0,1,0,1
saya curiga host nya ai juga kek nya,neutral,0,1,1,0
wkwkwkwk,neutral,0,1,1,1
punyaku kok bahasa inggris vidionya,negative,0,1,0,0
saya sudah buat tetapi tidak punya suara,negative,1,1,0,0
dajjal: yehee bwooii,negative,0,0,0,0
bro bro atau teman-teman yang ada di kolom komen ini kira-kira ea yang aksesnya perlu untuk membaca layar tunanetra apa ya??? yang aksesibel ???,neutral,0,0,0,1
bang kalo pake hp bisa,neutral,0,1,0,1
bang gua udah upgrad ke pro to ko tetep di veo 2 ya...,neutral,1,0,1,1
��,neutral,0,1,0,1
klo pke hp tidak bisa ya bang ?,neutral,0,1,0,0
kak nulisnya bahasa inggris tapi ngomong nya bahasa indonesia,negative,0,1,1,0
semua ai tetap bayar keculai ai whatsap,neutral,0,1,0,0
"buatkan prompt untuk veo 3 seseorang wanita cantik dengan background patung habibi dengan seolah ngevlog selfie sambil berbicara tahede ngana ayi piliki,kinapa te lanang ngana beken jadi ba cina dengan sedikit marah",neutral,1,0,0,0
puny ku kok tidak ada suara nya ya bang,negative,0,1,1,0
"kenapa hanya gambar ajah ya,bulan video?",neutral,0,1,0,0
bang klo videonya lagi mempromosikan produk / barang dagangan milik sendiri gmn bang???,neutral,0,1,0,0
"saya dah coba bang,tapi ko tidak ngomong",negative,0,1,0,0
apa bisa buatkan video klo bisa berapa biayanya,neutral,0,0,0,0
"mas,bahas tune ai mas,peraturannya agak ribet,g simple kyk 2025...",negative,1,1,0,0
trus solisinya apa buat kami yang pemburu gratisan,neutral,1,0,1,0
"please mas,bantu kami..",neutral,1,1,0,0
durasinya cmn 8 detik aja ya bang?,neutral,0,1,0,0
veo 3 sehari bisa berapa x generate ?,neutral,0,1,0,0
lu pake premium itu namanya bg bukan karna ngaruh vpn,negative,1,0,1,0
bisa buat yang image to video kak,neutral,0,0,1,1
bang ini kusus di pake untuk pc atau leptop ya klo di hp tidak bisa,neutral,0,0,1,1
aku ko gbisa download vpn nya ya?,negative,0,1,0,0
stelh nonton ini gua jdi berfikir . bikin film bohkeq di jual dapat cuan dah,positive,1,0,1,0
"bg itukan batas cuma 8 detik kan bg,kalok kita mau buat 1 video dengan durasi 5 menit gimana bg? atau harus dipisah menjadi beberapa video 8 detik bg? gimana trick nya biar hasilnya konsinsten setiap video sebelum kita gabungin?",neutral,0,0,0,0
"sekarang udah nga bisa yah? udah coba pakai 3 akun,tak coba gratis dan paket 1 bulan gratis sudah aktif malah suruh aktifasi lagi dan bayar 300k",neutral,0,1,1,0
bg emg batasannya cuman 3 kali generate tiap hari yah?,neutral,0,1,1,0
"thx bang,ai emang sengeri itu sih wkwoakowkoa",positive,0,0,1,0
anda asli atau tidak bos,neutral,0,0,0,0
min knpa aku tidak ad tulisan vidionya,negative,0,1,1,0
ko aku nyoba video ai suaranya malah inggris bukan indo,negative,0,1,1,0
durasinya kenapa 8 detik aja bang enggak bisa 1 menit/5menit,neutral,0,1,0,0
untuk durasi vidio bisa lebih dari 8 detik tidak bang,neutral,1,0,0,0
"tempat ku tidak ada video,adanya foto sama teks",neutral,1,1,1,1
"kadang heran mau bangga atau miris sama kemajuan teknologi sekarang,semuanya terasa cepet selesai tapi sebagian yang lain salah menggunakannya",negative,1,1,1,0
wah sayang terlalu ribet bang harus pakai lectop yang ngk pumya ngk bisa dong,negative,0,0,1,1
bang cara ngerubah orang berbicaranya dimana yaa ko sya buat ngomongnya malah bahasa inggrisbukan bahasa indonesia,negative,0,1,1,0
"bang aku kok gada opsi pembayaran pakai shopeepay atau gopay bang,gmna solusinya",negative,0,0,0,0
udah coba klaim gratis 1 bulan belum?,neutral,0,0,1,0
bang kok punyaku ngomongnya pake bahasa inggris bng gi mna cara buat bahasa indonesia bg,negative,0,0,1,0
bang vpn nya tidak bisa ya yang versi seluler..,negative,0,0,1,1
cuman 8 detik. bacot,neutral,0,1,0,0
harus pake gemini pro ya bang,neutral,0,1,1,1
udah gabisa metode pembayaranya udh dirubah,neutral,0,1,1,0
bisa lebih dari 8 detik durasinya ?,neutral,0,0,0,0
bisa lebih dari 8 detik durasi nya ?,neutral,0,0,0,0
bang vpn nya gratis bang atau gimana,neutral,0,0,1,0
terimaksih info nya,positive,1,0,1,1
"saya mau belajar,ada ada buka kelas khusus,atau private",neutral,1,1,1,1
"saya pake metode dana,tapi ko tetep gabisa yah",neutral,1,1,1,0
di aku kok tetep tidak ada ya bang videonya,negative,0,1,1,0
makasih bang ini tutorial paling jelas,positive,0,1,1,0
"pas nyoba,koq pakai bahasa inggris dis",neutral,1,1,0,1
"min,gmn cara buat vidio seperti ditiktok yang judulnya santri pekok",neutral,0,1,0,1
durasi nya tidak bisa panjang ya ?,negative,0,1,0,0
d saya ko hasilnya pke b.inggris bang,neutral,1,1,1,0
lewat hp bisa?,neutral,0,1,1,1
kalau videonya durasinya lama bisa tidak ? 30 menit gitu,neutral,0,1,1,1
"punyaku kok tidak kluar audionya ya om,padahal udah ngikutin prompt nya.",negative,1,0,0,1
"punya lo udah pro bang,hadehhh",neutral,1,0,1,1
salam kelan bang,neutral,0,0,1,0
ini wajib pakai desktop atau bisa pakai android kaka,neutral,0,1,0,1
makasih sharing ilmunya bang.,positive,1,1,0,0
bermanfaat sekali,positive,1,0,5,0
"sekarang buat email mest scan barcode nomor hp,trik ini sudah tidak bisa digunakan",neutral,0,1,1,1
cuma akun pro doang yang bisa,neutral,0,1,1,1
tapi hasilnya kok bahasa inggris ya bukan bahasa indonesia ??? tolong pencerahannya suhu ?,negative,0,0,0,0
"gratis dari hongkong,itu punyamu itu pro",neutral,1,0,1,1
videonya maks 8 detik saja kah?,neutral,0,1,0,0
"bang,minta link video biar karakternya konsisten",neutral,0,0,1,0
bang saya udah gemini pro tapi belum veo 3 ?,neutral,0,1,0,0
kalo pake ip gimana bang notifnya lari kemana,neutral,0,0,0,1
kalau ingin durasi video lebih dari 8 detik caranya gimana?,neutral,0,1,0,0
"terimakasih bang tutor nya,moga berkah ilmu nya bg,amal jariyah buat abang",positive,1,0,1,1
"bang,di gemini aku kok gada fitur buat bikin vidionya?",neutral,0,0,1,0
cuma ada gambar aja.,neutral,0,1,0,0
bagaimana?,neutral,0,1,0,0
untuk pembelian di google 1 jg tidak ada pilihan pembayaran pk dana/shoppepay,neutral,0,1,0,0
kok punyaku adanya gambar ya bukan video,negative,0,1,0,0
bang buatin suapya bisa ubah jdi suara ortua bg,neutral,1,0,1,0
kalau untuk iphone gimana bg ? tidak ada playstore,neutral,0,0,0,1
bang jangan pakai negara amerika,neutral,0,0,0,0
kan katanya kafir,neutral,0,1,0,0
non halal,neutral,1,1,0,0
mantaf bang,neutral,1,1,1,0
"cara merubah ke bahasa indonesia gimana ya,karena setelah saya download teks nya masih dalam bahasa inggris",negative,0,1,0,0
saya vidionya bahasa inggris,negative,0,1,1,0
ngeri mas asnawi ini ngarahin ke blog keren keren semoga mudah rezekinya marketing yang keren bang,positive,1,0,5,1
anjg lo bilang gratis,neutral,0,0,1,0
"gw suka gaya lu bang,pembawaan tutorial mudah di pahami,gw subscibe langsung",positive,0,1,1,1
bg punya w kok bahasa inggris jadinya cara ubahnya gmn y bg,neutral,0,1,0,0
bang klo mau bikin video ai ini tapi sambil pegang produk dagangan yang kita punya bagaimana bang???,neutral,0,0,0,0
min contoh prompt agar org yang dividio persisi seperti diri kita yang asli gimana yah,neutral,0,0,1,0
"bang ko punya saya tidak ada suara nya ya,klo bahasa indo",negative,0,0,1,0
max pembuatan videonya cuman 3 kali ya bang?,neutral,0,1,0,0
kok punyaku gaa da videonya ya di gemini,neutral,0,1,0,0
thanks infonya,positive,1,1,1,0
itukan yang pro.,neutral,0,1,1,0
yang tidak pro tidak ada vidionya,negative,1,1,1,0
"bang tolong jawab,videonya bisa lebih panjang tidak lebih dari 8 detik gitu",neutral,0,0,0,0
kok sekarang opsi lainnya tidak ada dana dll yah kk,negative,0,0,0,0
punya gw tidak bisa pake gratisnya error terus,negative,0,0,1,1
tidak muncul menu video,negative,0,0,0,1
kalo bikin veo 3 dengan potrait 9:16 bagaimana caranya,neutral,0,1,0,0
yah bg harus bayar juga,neutral,0,1,0,0
pake android bisa tidak bang,neutral,0,1,0,1
sama,neutral,0,1,1,1
owalah begitu pantes cuma ada gambar doang,neutral,0,1,1,0
mksh loh babang tamvan link prompt nya jadi bisa tau kn harus ketiknya gmn biar hasilnya kaya babang tamvan,positive,0,1,1,0
kok saya jadi bahasa inggris ya bang?,negative,0,1,0,0
bohong ni katanya vpn gratis tapi ditambahkan tidak mau gratis.kolom penambahan ke chrome tidak aktif. lihat pembayaran juga promo labgganan bayar dollar perbulan.,negative,0,0,1,0
"tolongin permasalahannya dimana? lewat web mentok dilayar vpn,penambahan ke chrome tidak aktif,pilihan negara amerika juga tidak ada.gimana mau lanjut???instal aplikasi vpn ternyata untuk penggunaan tidak gratis harus langganan dulu paling sedikit 159 ribu perminggu",neutral,0,0,0,0
amazing!,positive,0,1,5,0
ko saya gabisa ya bang,neutral,0,1,1,0
ngeri ngeri sedaap ini tutorialnya,negative,0,1,1,0
udah pake vpn tapi tetep ngga muncul opsi vidionya,negative,0,1,0,1
ko gw harus beli,neutral,0,1,0,1
gu udah pake vpn tete veo2,neutral,0,0,0,0
