comment,PE,EE,SI,FC
"innalillahh,,,itu ibukx gapapakah??,,,,,,semoga gapapa",0,0,0,0
"krennn asli bang",0,0,0,0
"serem ih",0,0,0,0
"ribet bener interfacenya,bingung mau klik mana.",0,4,0,0
"viral di tiktok mangkanya nyobain,ternyata emang keren.",0,0,5,0
"durasinya memang cuma sedikit kah bang,saya sudah nyoba,suaranya yang tidak muncul malah text yang tulisan,tapi videonya hasilnya emang bagus,dan bis adishare diyutub share tidak ya bang ?",0,0,0,0
"support-nya oke,ada panduan lengkap di websitenya. output-nya kurang akurat buat kebutuhan profesional.",0,1,0,0
"kuota boros banget buat generate video 10 detik doang. sangat efektif untuk meningkatkan produktivitas kerja. gokil",0,0,5,0
"promptnya tambahkan dia berbicara dalam bahasa indonesia yang jelas",0,0,0,0
"anjjj",0,0,0,0
"kerenn",0,0,0,0
"isekai ke majapahit",0,0,0,0
"gua kira beneran",0,0,0,0
"gada suaranya saya buat udah berkali2 juga",0,0,0,0
"sayang banget harus pake vpn baru bisa akses. gas terus",0,0,0,0
"lah fairus crsh lama gw dlu",0,0,0,0
"bang saya tidak ada suaranya",0,0,0,0
"ngebantu cari ide konten pas lagi mampet.",0,0,0,0
". bro",0,0,0,0
"chanel ini mengedukasi biar generasi kita pintar2.. tidak lemot tidak jadul pemikiranya",0,0,5,0
"kuli nih bisa tidak gantiin kerjaan gue\n",0,0,0,0
"temen-temen kantor udah pada pake,masa saya nggak. menu-menunya membingungkan,banyak iklan ganggu.",0,0,0,0
"mau keliatan se real apapun tpi ttp aja hasil nya kaya kosong gtu tidak siii,ga hidup",0,0,0,0
"kok tidak ada video",0,0,0,0
"meskipun terancam tapi aku pikir ai tidak akan bisa menggantikan posisi para aktor",0,0,0,0
"simpel dan elegan,navigasinya enak dipandang. mending skip",0,0,0,0
"aku jadi faham kenapa allah tidak membiarkan\nkita melihat wajah para nabi,tapi dengan itu pun kita yakin kalo para nabi sangat lah tampan",0,0,0,0
"tools ini ngebantu banget buat nyelesain tugas kuliah. user friendly parah,pemula pasti langsung paham.",0,4,0,0
"demi apapun takut gue jaman udh sebehininya",0,0,0,0
"bisa tinggal swap",0,0,0,0
"​ -u2k ",0,0,0,0
"hasil generate-nya oke punya,bikin kerjaan sat set. simpel dan elegan,navigasinya enak dipandang.",0,0,5,0
"aelahhhh",0,0,0,0
"ko gw merinding yak ad aplikasi ai veo 3",0,0,0,0
"belum bisa bang",0,0,0,0
"��𝙸 𝚖𝚊𝚔𝚒𝚗 𝚖𝚎𝚗𝚓𝚊𝚍𝚒 𝚓𝚊𝚍𝚒",0,0,0,0
"bang kalo bikin video wajah kita sendiri gemana",0,0,0,0
"terima kasih bang,saya coba lagi",0,0,0,0
"selamat datang di akhir zaman",0,0,0,0
"whisk support image vertical 9:16 tidak bang",0,0,0,0
"ai udh secanggih ini",0,0,0,0
"seharusnya muncul 3 pilihan kak: video,deep research dan canvas. pastikan vpn us aktif untuk bisa akses veo3,jika vpn tidak aktif nanti akan pakai mesin veo2",0,0,0,0
"makasih bang sudah berbagi ilmu",0,0,0,0
"user friendly parah,pemula pasti langsung paham. output-nya kurang akurat buat kebutuhan profesional.",0,4,0,0
"dosen saya nyaranin pake ini buat riset. tidak guna,malah bikin kerjaan makin numpuk. asli",0,0,0,0
"hp kentang saya tidak kuat jalanin aplikasi ini.",0,0,0,0
"masih dalam pengembangan,kita tunggu tahun depan sengeri apa?",0,0,0,0
"video ketiga shootnya mirip iklan ruangguru ",0,0,0,0
"bang bisa belajar tahap demi tahap nya bang saya masi belum paham mungkin ada cet pribadi atau klas blajar,",0,0,0,0
"kok takut liatnya",0,0,0,0
"orangnya ngk bsa pake foto kita ya bang",0,0,0,0
"",0,0,0,0
"saya kek nya kudet nih,saat ikuti semua,malah diminta api nya,mhn pencereahan guru ",0,0,0,0
"bosan",0,0,0,0
"bg kenapa error saat comand npm instal ya??",0,0,0,0
"ngebantu cari ide konten pas lagi mampet.",0,0,0,0
"dosen saya nyaranin pake ini buat riset. output-nya kurang akurat buat kebutuhan profesional. asli",0,0,0,0
"isekai ke majapahit",0,0,0,0
"ya belum sempurna",0,0,0,0
"ngebantu cari ide konten pas lagi mampet. temen-temen kantor udah pada pake,masa saya nggak.",0,0,0,0
"hp kentang saya tidak kuat jalanin aplikasi ini. instalasi vpn-nya bikin pusing tujuh keliling. boleh lah",0,0,0,0
"cara pakainya gampang banget,gak perlu tutorial. sayang banget harus pake vpn baru bisa akses.",0,4,0,0
"yah gw udah sadar sebelum dia ngomong,karena grafiknya mencolok banget",0,0,0,0
"ea sangat bahaya",0,0,0,0
"dosen saya nyaranin pake ini buat riset. ngebantu cari ide konten pas lagi mampet. gas terus",0,0,4,0
